delta L,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
0,25.634399,22.238941,22.898056,24.433086,23.33938,23.979705,23.616264,24.458083,23.7561,24.833099,24.720988,24.42367,28.130391,24.300758,18.988105,18.686065
0,25.504592,21.877863,22.873316,24.439756,23.335545,23.995589,23.623188,24.465081,23.745714,24.831669,24.72284,24.396511,28.157211,24.294073,18.974276,18.699937
0,25.591546,21.765013,22.864084,24.509069,23.345212,23.969459,23.588098,24.461532,23.739289,24.825223,24.735621,24.365926,28.191479,24.289432,18.969145,18.701125
0,25.361158,22.10653,22.872532,24.513056,23.338461,23.93753,23.558015,24.465226,23.720328,24.826546,24.732799,24.370246,28.243669,24.289454,18.974568,18.718933
0.255103,25.93041,22.382248,22.9453,24.609816,23.326238,23.918648,23.551878,24.462587,23.715121,24.824342,24.732821,24.393369,28.294289,24.285717,18.983248,18.717497
-0.008849,26.05379,22.385339,22.976817,24.570665,23.329692,23.9163,23.564656,24.465635,23.706099,24.83199,24.725164,24.412897,28.33727,24.297335,18.985568,18.746798
0.246253,25.948936,22.383406,23.107914,24.553545,23.339553,23.933613,23.599903,24.463415,23.700171,24.829789,24.71067,24.415113,28.389134,24.29821,18.97558,18.747285
0.246253,25.868487,22.000991,23.092129,24.601272,23.354015,23.955193,23.615656,24.468639,23.694851,24.828501,24.707407,24.416004,28.425842,24.304435,18.9657,18.754034
0.246253,25.917079,21.977808,23.090684,24.685217,23.388228,23.951229,23.59028,24.469795,23.690299,24.827009,24.709867,24.389619,28.481415,24.29487,18.974816,18.757464
0.501356,25.739314,22.33648,23.118507,24.706469,23.389576,23.935776,23.568563,24.471499,23.673029,24.826322,24.714538,24.384733,28.551447,24.294334,18.978202,18.769111
0.237405,26.32285,22.579275,23.200212,24.825301,23.394907,23.934574,23.571092,24.473017,23.674546,24.822937,24.720881,24.397342,28.623436,24.303352,18.993648,18.749489
0.237405,26.407742,22.556645,23.243031,24.764746,23.409806,23.934756,23.581215,24.470362,23.663449,24.827201,24.716201,24.406169,28.694058,24.308749,18.986313,18.750435
0.492508,26.262092,22.542583,23.372939,24.772724,23.438204,23.966478,23.615168,24.471713,23.658588,24.825992,24.704034,24.399608,28.745925,24.309177,18.977652,18.754531
0.228556,26.239884,22.104746,23.351619,24.833988,23.461464,23.984941,23.624826,24.47643,23.661771,24.826729,24.70519,24.381037,28.797449,24.314826,18.970695,18.749737
0.228556,26.246906,22.17638,23.346156,24.918903,23.490691,23.967224,23.600158,24.472063,23.663924,24.827198,24.713829,24.377203,28.857843,24.317808,18.979793,18.754471
0.483658,26.177419,22.514771,23.377442,24.931719,23.490354,23.946207,23.573831,24.466391,23.658192,24.826039,24.7145,24.377156,28.912753,24.31634,18.979828,18.743371
0.483658,26.736341,22.669839,23.433999,25.062128,23.486582,23.942804,23.571791,24.464857,23.656517,24.829213,24.715577,24.402662,28.977983,24.324833,18.984103,18.741976
0.219706,26.793049,22.617632,23.462934,24.99126,23.502357,23.946699,23.602079,24.470466,23.659712,24.834494,24.702632,24.451251,29.031438,24.343199,18.986546,18.73511
0.474809,26.613956,22.513585,23.553658,25.012252,23.520998,23.980017,23.637257,24.467144,23.664551,24.837579,24.69375,24.447013,29.072365,24.340258,18.990711,18.746141
0.474809,26.635655,22.056481,23.497696,25.079294,23.528196,23.991575,23.629621,24.460924,23.663386,24.842781,24.685729,24.430866,29.106332,24.332944,18.989507,18.746845
0.338408,26.540972,22.225996,23.476919,25.15271,23.552905,23.987831,23.591634,24.464552,23.653451,24.846446,24.696932,24.453848,29.159022,24.346017,18.979023,18.751629
0.210857,26.630663,22.561852,23.52335,25.184067,23.541767,23.97564,23.56481,24.457091,23.649922,24.854429,24.707445,24.468632,29.224797,24.344093,18.983798,18.726711
0.465959,27.084322,22.708346,23.568028,25.291041,23.545344,23.98365,23.559278,24.452084,23.645638,24.863088,24.698554,24.498972,29.287249,24.349377,18.976806,18.722546
0.465959,27.117417,22.708173,23.625131,25.207152,23.571829,23.998049,23.597623,24.4586,23.644577,24.864496,24.686204,24.503902,29.357353,24.354648,18.992384,18.72103
0.465959,26.916966,22.580634,23.697428,25.217865,23.597244,24.036632,23.645387,24.481888,23.646289,24.8692,24.66663,24.482604,29.415324,24.356508,18.994151,18.74395
0.465959,26.987196,22.221144,23.672184,25.291687,23.624371,24.055523,23.649925,24.497543,23.655966,24.871631,24.666576,24.445981,29.456443,24.361222,19.006937,18.778589
